Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200501BS00001,1,1,3,1,37,7,2,1,1,0,0,-1,0,1
200501BS00002,1,1,2,1,37,7,3,0,0,0,4,-1,11,1
200501BS00003,2,1,1,1,62,9,3,0,0,0,0,-1,9,1
200501BS00004,1,1,3,1,30,6,3,5,2,0,0,-1,0,1
200501BS00005,1,1,1,1,49,8,3,0,0,0,0,-1,3,-1
200501BS00006,2,1,1,2,30,6,3,0,0,0,0,-1,3,1
200501BS00007,1,1,1,1,31,6,3,0,0,0,0,-1,3,-1
200501BS00009,1,1,3,2,13,3,3,6,9,0,0,-1,0,1
200501BS00009,1,2,3,2,13,3,3,6,9,0,0,-1,0,1
200501BS00010,1,1,1,1,35,6,3,0,0,0,0,-1,9,1
200501BS00010,2,2,1,2,48,8,3,0,0,0,0,-1,9,1
200501BS00011,1,1,2,2,26,6,3,0,0,0,4,-1,11,1
200501BS00011,1,2,2,2,9,2,3,0,0,0,4,-1,11,1
200501BS00011,1,3,2,2,40,7,3,0,0,0,4,-1,11,1
200501BS00011,1,4,2,2,38,7,3,0,0,0,4,-1,11,1
200501BS00011,1,5,2,2,28,6,3,0,0,0,4,-1,11,-1
200501BS00012,1,1,3,2,23,5,3,1,4,0,0,-1,0,1
200501BS00014,2,1,1,2,20,4,3,0,0,0,0,-1,3,-1
200501BS00015,1,1,3,2,75,10,3,1,1,0,0,-1,0,-1
200501BS00016,1,1,1,1,34,6,3,0,0,0,0,-1,9,1
200501BS00017,1,1,1,1,42,7,3,0,0,0,0,-1,5,1
200501BS00017,1,2,3,2,31,6,3,5,3,0,0,-1,0,-1
200501BS00018,1,1,3,2,56,9,3,1,1,0,0,-1,0,1
200501BS00019,1,1,1,1,54,8,2,0,0,0,0,-1,5,1
200501BS00020,2,1,1,1,26,6,3,0,0,0,0,-1,3,1
200501BS00021,1,1,1,1,33,6,3,0,0,0,0,-1,5,1
200501BS00022,1,1,3,1,-1,-1,2,5,1,0,0,-1,0,-1
200501BS00023,1,1,3,1,49,8,3,5,3,0,0,-1,0,-1
200501BS00024,2,1,1,2,25,5,3,0,0,0,0,-1,1,1
200501BS00025,2,1,1,1,59,9,3,0,0,0,0,-1,5,1
200501BS00028,1,1,1,1,40,7,3,0,0,0,0,-1,3,1
200501BS00029,1,1,1,1,54,8,3,0,0,0,0,-1,9,1
200501BS00031,1,1,3,1,68,10,3,1,3,0,0,-1,0,1
200501BS00032,1,1,1,1,47,8,3,0,0,0,0,-1,1,-1
200501BS00033,1,1,1,1,29,6,3,0,0,0,0,-1,9,1
200501BS00033,1,2,2,1,-1,-1,3,0,0,1,0,-1,9,-1
200501BS70001,2,1,1,1,39,7,3,0,0,0,0,-1,9,1
200501BS70002,2,1,1,2,33,6,3,0,0,0,0,-1,5,1
200501BS70003,1,1,1,1,24,5,3,0,0,0,0,-1,3,1
200501BS70003,2,2,1,1,28,6,2,0,0,0,0,-1,5,1
200501BS70004,1,1,1,1,31,6,3,0,0,0,0,-1,1,1
200501BS70005,1,1,1,1,43,7,3,0,0,0,0,-1,4,1
200501BS70006,1,1,1,2,23,5,3,0,0,0,0,-1,3,1
200501BS70006,1,2,2,2,24,5,3,0,0,0,0,-1,3,1
